#(id,from,to,speed,planTime)
(38000,51,6,6, 69)
(17308,72,18,8, 69)
(25310,95,20,6, 69)
(27451,1,79,8, 69)
(14147,30,82,4, 69)
(44592,33,90,4, 69)
(34206,84,9,6, 69)
(39621,62,17,4, 69)
(47017,66,11,8, 69)
(33701,57,1,4, 69)
(40514,95,10,8, 69)
(37170,34,100,4, 69)
(47355,14,100,4, 69)
(11996,56,1,8, 69)
(31943,82,28,8, 69)
(14977,68,1,8, 69)
(47366,56,1,8, 69)
(34364,70,11,4, 69)
(40587,39,83,4, 69)
(25755,36,81,8, 69)
(44505,8,91,4, 69)
(36491,88,32,4, 69)
(40772,34,89,8, 69)
(20875,35,100,4, 69)
(40627,71,30,6, 69)
(40608,49,92,8, 69)
(36454,4,59,4, 69)
(46363,14,99,6, 69)
(32129,3,89,4, 69)
(47063,17,81,8, 69)
(25544,60,3,4, 69)
(23628,82,38,8, 69)
(16826,38,81,6, 69)
(17233,27,72,4, 69)
(24448,62,17,6, 69)
(49450,7,92,6, 69)
(33700,66,1,8, 69)
(27283,41,99,4, 69)
(21940,56,1,4, 69)
(29187,71,19,4, 69)
(32429,32,88,8, 69)
(23102,34,99,8, 7)
(41798,62,18,8, 7)
(24003,33,100,6, 7)
(38436,61,8,6, 7)
(25583,41,100,4, 7)
(37963,75,10,4, 7)
(19613,90,31,8, 7)
(29240,25,100,8, 7)
(23382,25,100,4, 7)
(10383,35,100,4, 7)
(39429,60,3,6, 7)
(38311,86,31,6, 7)
(39630,82,30,6, 7)
(19552,99,1,8, 7)
(23987,85,30,8, 7)
(39642,53,8,6, 7)
(39628,33,99,4, 7)
(23284,33,90,4, 7)
(30201,88,2,8, 7)
(30933,98,12,4, 7)
(39671,34,99,6, 7)
(38198,7,72,8, 7)
(26695,72,10,8, 7)
(50352,62,20,8, 7)
(23998,7,61,8, 7)
(10329,20,93,8, 7)
(22098,59,1,6, 7)
(31828,97,42,6, 7)
(39565,94,20,4, 7)
(35658,50,91,4, 7)
(41980,69,1,4, 7)
(21982,37,82,6, 7)
(38281,84,30,6, 7)
(37632,10,85,6, 7)
(21732,51,7,4, 7)
(23247,1,88,4, 7)
(23257,53,10,4, 7)
(39735,7,62,4, 7)
(21806,57,2,6, 7)
(23978,32,99,8, 7)
(21824,26,91,4, 7)
(23397,97,22,6, 7)
(41844,20,73,4, 7)
(37819,22,78,8, 7)
(23575,61,6,6, 7)
(49962,88,21,4, 7)
(37853,4,59,4, 7)
(40607,10,92,4, 7)
(20903,77,1,8, 7)
(23857,95,30,6, 7)
(50728,39,83,4, 7)
(41106,62,7,8, 7)
(20907,60,5,6, 7)
(10555,63,20,6, 7)
(10825,47,91,6, 7)
(41062,85,20,4, 7)
(22741,1,59,4, 7)
(20997,85,20,6, 7)
(30139,12,88,4, 7)
(38757,19,91,8, 7)
(35977,86,31,4, 7)
(41178,53,10,6, 7)
(50195,40,81,4, 7)
(39227,19,63,4, 7)
(35210,50,92,8, 7)
(25797,24,99,4, 7)
(50445,74,9,4, 7)
(38120,46,91,4, 7)
(20865,97,41,8, 7)
(37849,9,74,4, 7)
(29186,52,9,4, 7)
(35342,63,9,4, 7)
(35340,13,68,6, 7)
(35318,96,41,8, 7)
(35915,27,91,6, 7)
(22583,83,18,6, 7)
(10878,39,82,8, 7)
(26340,38,92,8, 7)
(35356,46,91,4, 7)
(40926,2,88,4, 7)
(20555,91,36,6, 7)
(23835,96,41,8, 7)
(31715,45,100,6, 7)
(40960,15,80,4, 7)
(23792,22,79,8, 7)
(50721,46,91,8, 7)
(22635,62,20,6, 7)
(22639,79,21,8, 7)
(23787,78,1,8, 7)
(50458,58,1,6, 7)
(20462,39,92,4, 7)
(20232,44,99,4, 7)
(23751,10,94,4, 7)
(32569,29,73,4, 7)
(26472,64,9,6, 7)
(29380,17,72,6, 7)
(38608,23,89,6, 7)
(26075,47,91,4, 7)
(50003,59,2,6, 7)
(25661,19,81,8, 7)
(10725,28,73,6, 7)
(39396,5,60,6, 7)
(21506,73,19,4, 7)
(32363,27,81,6, 7)
(19778,16,81,8, 7)
(19771,22,77,6, 7)
(22155,70,4,8, 7)
(41686,13,88,8, 7)
(37939,94,10,8, 7)
(39962,89,13,6, 7)
(41711,78,11,6, 7)
(35028,15,90,6, 7)
(11076,19,63,6, 7)
(39935,37,82,4, 7)
(25646,59,4,8, 7)
(11084,48,91,6, 7)
(41509,66,11,6, 7)
(22144,68,1,8, 7)
(37921,17,81,4, 7)
(40091,59,3,8, 7)
(22827,48,92,4, 7)
(50665,75,30,4, 7)
(40413,56,1,4, 7)
(40365,57,1,4, 7)
(35988,63,18,6, 7)
(25555,87,12,4, 7)
(20178,17,72,6, 7)
(40324,5,70,8, 7)
(26483,51,10,6, 7)
(20170,99,21,6, 7)
(20161,11,70,4, 7)
(40271,91,18,6, 7)
(40215,10,73,4, 7)
(39348,18,61,6, 7)
(41382,87,32,4, 7)
(39349,11,68,8, 7)
(35796,3,69,8, 7)
(21328,98,2,6, 7)
(25857,54,10,8, 7)
(40125,9,83,4, 7)
(10601,91,38,4, 7)
(19967,43,99,4, 7)
(19781,44,100,4, 7)
(37391,79,21,6, 7)
(27581,65,10,8, 7)
(13966,72,29,4, 7)
(34257,51,8,6, 7)
(25316,62,8,4, 7)
(13944,11,70,4, 7)
(28792,97,41,8, 7)
(32393,89,24,8, 7)
(36370,21,77,8, 7)
(30831,43,98,8, 7)
(11595,56,1,8, 7)
(44306,9,83,4, 7)
(44299,24,79,8, 7)
(31472,52,7,6, 7)
(44226,60,5,6, 7)
(32066,28,71,4, 7)
(30395,92,17,4, 7)
(16898,74,19,6, 7)
(30832,55,10,6, 7)
(16892,41,98,8, 7)
(47132,17,92,4, 7)
(30420,83,20,8, 7)
(14184,76,11,8, 7)
(16618,80,1,4, 7)
(44663,83,9,4, 7)
(44645,63,18,6, 7)
(44619,9,51,6, 7)
(16701,42,99,6, 7)
(31450,55,10,4, 7)
(47009,27,92,4, 7)
(48933,19,73,4, 7)
(24855,8,83,8, 7)
(24446,95,30,6, 7)
(32940,43,100,6, 7)
(27408,35,90,8, 7)
(44445,87,1,8, 7)
(44434,21,89,6, 7)
(31439,17,82,8, 7)
(44151,81,7,4, 7)
(17207,82,30,8, 7)
(13669,25,100,4, 7)
(27222,58,2,8, 7)
(47525,87,21,4, 7)
(25346,10,65,6, 7)
(17599,38,92,6, 7)
(11474,67,11,4, 7)
(47546,92,48,8, 7)
(43751,59,2,4, 7)
(48812,78,1,8, 7)
(34439,65,10,6, 7)
(17641,61,6,6, 7)
(13518,35,100,4, 7)
(17705,69,1,8, 7)
(34487,76,11,4, 7)
(11429,11,87,6, 7)
(17512,64,19,6, 7)
(48881,57,1,8, 7)
(31246,98,3,4, 7)
(32255,96,31,6, 7)
(44084,47,92,6, 7)
(37261,45,100,4, 7)
(13812,52,7,8, 7)
(27264,79,14,8, 7)
(36505,96,11,8, 7)
(25330,5,80,6, 7)
(37274,11,70,6, 7)
(29779,82,39,6, 7)
(28321,47,91,4, 7)
(34386,10,75,6, 7)
(12195,47,92,6, 7)
(11502,92,9,8, 7)
(49557,77,21,6, 7)
(43891,87,1,8, 7)
(34405,85,10,4, 7)
(47404,85,30,6, 7)
(43616,78,1,8, 7)
(12120,52,7,4, 7)
(16508,19,82,6, 7)
(15486,85,40,4, 7)
(46393,52,10,6, 7)
(11998,81,39,8, 7)
(46420,34,90,8, 7)
(37026,83,38,8, 7)
(45707,63,20,4, 7)
(28054,80,4,4, 7)
(49221,68,13,4, 7)
(45657,89,33,4, 7)
(46457,73,29,4, 7)
(45637,69,14,4, 7)
(24629,76,21,6, 7)
(45616,8,93,8, 7)
(33939,98,23,4, 7)
(37053,59,3,6, 7)
(15453,47,92,6, 7)
(46509,23,90,8, 7)
(28030,96,11,4, 7)
(46319,18,81,4, 7)
(32881,76,11,8, 7)
(28869,93,40,8, 7)
(15132,25,100,8, 7)
(24691,35,100,8, 7)
(30545,32,98,4, 7)
(15113,84,19,8, 7)
(15107,84,19,8, 7)
(33794,42,98,6, 7)
(49105,19,72,6, 7)
(15006,86,1,8, 7)
(30519,85,10,4, 7)
(49160,78,22,8, 7)
(15390,52,8,6, 7)
(46252,25,80,4, 7)
(27835,62,8,4, 7)
(11986,87,2,8, 7)
(33488,57,2,4, 7)
(32267,40,83,6, 7)
(49276,45,100,6, 7)
(12076,27,92,6, 7)
(27544,15,90,8, 7)
(46861,43,99,6, 7)
(14345,85,30,8, 7)
(14334,53,9,8, 7)
(16400,95,10,4, 7)
(44903,25,90,8, 7)
(34128,32,97,4, 7)
(31289,72,8,8, 7)
(16424,4,70,4, 7)
(29789,76,11,8, 7)
(44829,90,2,8, 7)
(27513,31,89,6, 7)
(36482,85,10,4, 7)
(14237,6,91,8, 7)
(37117,87,22,6, 7)
(31306,5,90,8, 7)
(49352,65,10,8, 7)
(31290,25,100,6, 7)
(15930,62,10,6, 7)
(45333,99,23,8, 7)
(48999,26,71,6, 7)
(14429,89,33,4, 7)
(36860,8,93,6, 7)
(45191,68,11,8, 7)
(45190,57,1,4, 7)
(45157,74,9,4, 7)
(27587,36,81,8, 7)
(45124,46,91,8, 7)
(10059,90,21,4, 7)
(34942,21,89,8, 7)
(11739,96,31,8, 7)
(32391,78,22,6, 7)
(14369,87,32,8, 7)
(49350,24,90,6, 7)
(43600,93,48,8, 7)
(13740,10,93,8, 7)
(37480,13,89,8, 7)
(48412,25,90,8, 7)
(26933,75,20,8, 7)
(48394,12,88,6, 7)
(33117,59,4,6, 7)
(42762,94,19,8, 7)
(30274,33,88,6, 7)
(42771,4,89,8, 7)
(12719,44,99,8, 7)
(48314,59,4,8, 7)
(18555,50,93,4, 7)
(49769,85,40,4, 7)
(48286,17,81,6, 7)
(18466,41,99,8, 7)
(42899,39,91,4, 7)
(50945,76,1,4, 7)
(47666,63,8,8, 7)
(48175,29,83,8, 7)
(18247,83,8,8, 7)
(24190,91,37,8, 7)
(27021,73,30,8, 7)
(43068,71,27,6, 7)
(37455,24,100,8, 7)
(18279,95,40,8, 7)
(42689,81,27,4, 7)
(49739,12,68,6, 7)
(43008,66,11,4, 7)
(24168,45,100,8, 7)
(42979,81,40,6, 7)
(24163,72,19,6, 7)
(25021,33,90,4, 7)
(18405,1,59,8, 7)
(43011,88,11,6, 7)
(13071,19,74,6, 7)
(18717,37,82,6, 7)
(11251,72,18,6, 7)
(48617,46,91,4, 7)
(12440,65,20,6, 7)
(19376,31,96,8, 7)
(24024,87,1,6, 7)
(37610,68,11,6, 7)
(42086,60,4,4, 7)
(19353,34,89,8, 7)
(24033,66,11,8, 7)
(11178,20,85,8, 7)
(19256,14,79,6, 7)
(12517,51,6,8, 7)
(42281,76,11,8, 7)
(12571,30,75,4, 7)
(42302,8,72,6, 7)
(33029,73,10,4, 7)
(42312,23,88,4, 7)
(37572,79,2,6, 7)
(48430,30,93,4, 7)
(36608,1,56,8, 7)
(42483,43,98,8, 7)
(12609,64,10,8, 7)
(42466,28,71,6, 7)
(18935,22,97,6, 7)
(32338,31,97,8, 7)
(34837,61,6,8, 7)
(28665,65,20,6, 7)
(18963,77,21,8, 7)
(48459,14,90,4, 7)
(42395,14,90,4, 7)
(18996,18,62,4, 7)
(37568,21,87,4, 7)
(24079,25,90,8, 7)
(34640,30,74,6, 7)
(27940,84,19,4, 7)
(27151,83,29,4, 7)
(17812,16,61,6, 7)
(48772,57,2,4, 7)
(47892,66,1,8, 7)
(49666,98,41,4, 7)
(33247,57,1,6, 7)
(29420,6,51,4, 7)
(43272,36,91,6, 7)
(33293,15,90,4, 7)
(13122,16,61,8, 7)
(11373,60,2,6, 7)
(12245,35,90,8, 7)
(24996,57,1,6, 7)
(13222,58,1,8, 7)
(28753,96,41,8, 7)
(13444,39,82,6, 7)
(43443,73,30,8, 7)
(43389,28,91,6, 7)
(28469,68,12,6, 7)
(28464,50,94,4, 7)
(18228,6,51,6, 7)
(11413,44,100,8, 7)
(43141,31,86,4, 7)
(37383,46,91,6, 7)
(43210,88,3,4, 7)
(49695,85,10,4, 7)
(34625,29,73,8, 7)
(18174,70,4,4, 7)
(12242,53,9,6, 7)
(43212,84,40,6, 7)
(12003,8,92,8, 70)
(12226,64,20,6, 70)
(48460,96,41,4, 70)
(14552,72,30,4, 70)
(49044,94,19,8, 70)
(13589,31,88,8, 70)
(39417,100,11,8, 70)
(13590,18,83,6, 70)
(22149,22,100,6, 70)
(13621,65,10,4, 70)
(48649,59,1,8, 70)
(23263,59,2,6, 70)
(14627,41,100,4, 70)
(14779,70,2,8, 70)
(46514,57,2,4, 70)
(14689,96,41,6, 70)
(14680,66,1,8, 70)
(14678,27,71,4, 70)
(28444,90,1,4, 70)
(48475,65,10,8, 70)
(10456,57,1,6, 70)
(47578,13,78,6, 70)
(48573,97,1,4, 70)
(38837,83,20,6, 70)
(15017,15,100,8, 70)
(48579,15,80,4, 70)
(32128,4,69,6, 70)
(11963,59,4,4, 70)
(46241,90,3,8, 70)
(22719,45,100,6, 70)
(33756,31,98,6, 70)
(39613,42,99,4, 70)
(22720,90,31,8, 70)
(33044,54,10,6, 70)
(33323,21,87,6, 70)
(47676,68,2,6, 70)
(47688,72,10,8, 70)
(47617,2,99,4, 70)
(33714,62,19,6, 70)
(36096,58,2,4, 70)
(22091,64,9,6, 70)
(12244,17,91,4, 70)
(38886,35,90,6, 70)
(47490,21,80,6, 70)
(13439,75,10,4, 70)
(12563,10,61,4, 70)
(31009,74,30,8, 70)
(30714,52,7,8, 70)
(14863,75,10,4, 70)
(28023,77,21,8, 70)
(50525,44,100,8, 70)
(48552,75,20,4, 70)
(49075,70,15,8, 70)
(12489,44,100,6, 70)
(14927,83,19,8, 70)
(14803,66,1,6, 70)
(47836,44,100,4, 70)
(48415,27,82,4, 70)
(14502,91,38,4, 70)
(14180,60,1,6, 70)
(48698,79,24,8, 70)
(33178,79,23,8, 70)
(48939,58,3,8, 70)
(22323,81,17,4, 70)
(47298,38,91,4, 70)
(22982,56,1,4, 70)
(28551,88,31,6, 70)
